,DATE_ACQUIRED,SUHI
160,1996-01-31,2.689942642716982
161,1996-02-16,2.23521871663905
162,1996-03-03,4.080771928271314
163,1996-03-19,7.564927462205489
164,1996-04-04,5.266407215296653
165,1996-04-20,4.611399990202223
166,1996-05-06,5.893156898546195
167,1996-06-07,14.718619752238386
168,1996-06-23,5.486465053710994
169,1996-07-09,6.969632030449283
170,1996-07-25,6.01391663180749
171,1996-08-10,6.765926760341316
172,1996-08-26,5.7180538427101695
173,1996-09-11,4.574805023369819
174,1996-09-27,3.7777333644948214
175,1996-10-13,4.419089572180525
176,1996-10-29,4.390148038600458
177,1996-11-14,-12.726812815451689
178,1996-11-30,2.8136751377983202
179,1996-12-16,2.5873488131116673
180,1997-02-18,7.887323560991575
181,1997-03-06,3.5248520395182474
182,1997-03-22,5.561319017122976
