,DATE_ACQUIRED,SUHI_normalized
154,1995-09-25,0.6674125660687688
155,1995-10-11,0.65839024946375
156,1995-10-27,0.6391787057319867
157,1995-11-12,0.49002778060679025
158,1995-12-14,0.36223555868452606
159,1996-01-15,0.46477994571949877
160,1996-01-31,0.514479263161249
161,1996-02-16,0.5474716587900661
162,1996-03-03,0.6555428380681794
163,1996-03-19,0.9455775675527679
164,1996-04-04,0.539914316260701
165,1996-04-20,0.5118396598235252
166,1996-05-06,0.5769996661113598
167,1996-06-07,1.8554384658145997
168,1996-06-23,0.5254969862499791
169,1996-07-09,0.7582624702988562
170,1996-07-25,0.6992476969515439
171,1996-08-10,0.6082989429850635
172,1996-08-26,0.5333265651729793
173,1996-09-11,0.5465028388951992
174,1996-09-27,0.3947291619300996
175,1996-10-13,0.5205378342706941
176,1996-10-29,0.5331006255813214
